Ticker,close,date,high,low,month,open,volume
SBIN,648.25,2023-12-15 05:30:00,650.0,619.85,2023-12,628.0,29813572
BAJFINANCE,7515.05,2023-12-15 05:30:00,7528.9,7445.0,2023-12,7528.85,1173938
TITAN,3600.55,2023-12-15 05:30:00,3615.0,3584.8,2023-12,3615.0,906271
ITC,458.2,2023-12-15 05:30:00,462.95,455.0,2023-12,461.9,15789845
TCS,3861.0,2023-12-15 05:30:00,3895.95,3666.7,2023-12,3666.7,8531230
LT,3488.0,2023-12-15 05:30:00,3498.9,3432.85,2023-12,3435.15,2632935
TATACONSUM,942.98,2023-12-15 05:30:00,948.16,937.25,2023-12,948.16,1141316
RELIANCE,1247.8,2023-12-15 05:30:00,1250.0,1235.03,2023-12,1239.0,15932152
HCLTECH,1491.3,2023-12-15 05:30:00,1497.0,1422.0,2023-12,1422.0,7374290
JSWSTEEL,867.2,2023-12-15 05:30:00,870.55,851.6,2023-12,854.05,4058044
ULTRACEMCO,10029.5,2023-12-15 05:30:00,10059.5,9900.65,2023-12,10000.0,439516
POWERGRID,237.35,2023-12-15 05:30:00,238.1,227.15,2023-12,235.0,41341690
INFY,1578.4,2023-12-15 05:30:00,1588.55,1521.0,2023-12,1523.05,18395389
TRENT,2989.75,2023-12-15 05:30:00,3024.55,2980.05,2023-12,3000.0,682553
BHARTIARTL,992.55,2023-12-15 05:30:00,1010.85,988.25,2023-12,999.65,10119597
TATAMOTORS,732.4,2023-12-15 05:30:00,734.0,721.25,2023-12,723.9,12082079
WIPRO,446.55,2023-12-15 05:30:00,449.5,433.5,2023-12,436.05,20783617
TECHM,1306.1,2023-12-15 05:30:00,1324.8,1262.5,2023-12,1270.0,5900381
NTPC,305.1,2023-12-15 05:30:00,307.0,295.0,2023-12,298.0,28843558
HINDUNILVR,2522.9,2023-12-15 05:30:00,2532.0,2507.0,2023-12,2520.0,2543337
APOLLOHOSP,5551.2,2023-12-15 05:30:00,5588.0,5500.0,2023-12,5530.0,349758
M&M,1724.95,2023-12-15 05:30:00,1739.6,1698.0,2023-12,1727.9,3858594
GRASIM,2119.27,2023-12-15 05:30:00,2124.3,2093.68,2023-12,2107.62,721459
ICICIBANK,1037.4,2023-12-15 05:30:00,1043.7,1025.7,2023-12,1043.65,14306067
ADANIENT,2991.8,2023-12-15 05:30:00,3000.0,2893.9,2023-12,2912.05,4921484
ADANIPORTS,1078.55,2023-12-15 05:30:00,1086.5,1067.05,2023-12,1079.0,11672787
BEL,169.05,2023-12-15 05:30:00,170.2,165.25,2023-12,166.0,39766631
BAJAJFINSV,1733.15,2023-12-15 05:30:00,1741.0,1718.75,2023-12,1738.95,1486079
EICHERMOT,4059.9,2023-12-15 05:30:00,4135.3,4045.0,2023-12,4099.7,954933
COALINDIA,350.0,2023-12-15 05:30:00,354.35,348.45,2023-12,350.0,14331890
MARUTI,10286.4,2023-12-15 05:30:00,10476.8,9832.6,2023-12,10459.0,1244681
INDUSINDBK,1570.8,2023-12-15 05:30:00,1578.0,1547.05,2023-12,1552.95,3478643
ASIANPAINT,3313.9,2023-12-15 05:30:00,3326.35,3242.0,2023-12,3250.0,1631687
TATASTEEL,136.45,2023-12-15 05:30:00,136.75,133.0,2023-12,133.4,77377446
HDFCLIFE,673.1,2023-12-15 05:30:00,688.0,663.25,2023-12,688.0,8720610
DRREDDY,1117.89,2023-12-15 05:30:00,1123.0,1108.4,2023-12,1120.0,3636220
SUNPHARMA,1235.75,2023-12-15 05:30:00,1246.5,1233.0,2023-12,1241.0,3474624
KOTAKBANK,1850.6,2023-12-15 05:30:00,1865.0,1842.75,2023-12,1865.0,3877197
SHRIRAMFIN,2077.7,2023-12-15 05:30:00,2121.6,2070.1,2023-12,2117.0,2245653
NESTLEIND,2436.64,2023-12-15 05:30:00,2495.22,2422.0,2023-12,2485.01,1595410
ONGC,201.05,2023-12-15 05:30:00,201.95,196.85,2023-12,197.25,22863981
CIPLA,1207.1,2023-12-15 05:30:00,1217.6,1202.85,2023-12,1215.0,1976112
BPCL,224.5,2023-12-15 05:30:00,226.73,221.1,2023-12,222.5,22079148
BRITANNIA,4913.9,2023-12-15 05:30:00,4969.85,4880.5,2023-12,4938.0,216579
SBILIFE,1452.5,2023-12-15 05:30:00,1485.0,1448.6,2023-12,1474.0,1482700
HINDALCO,557.25,2023-12-15 05:30:00,559.05,548.2,2023-12,556.0,8191005
HEROMOTOCO,3896.55,2023-12-15 05:30:00,3940.0,3886.15,2023-12,3939.0,924599
AXISBANK,1120.35,2023-12-15 05:30:00,1127.85,1108.6,2023-12,1119.2,12048410
HDFCBANK,1656.55,2023-12-15 05:30:00,1668.0,1646.6,2023-12,1650.0,69418565
BAJAJ-AUTO,6275.2,2023-12-15 05:30:00,6402.1,6256.15,2023-12,6368.95,553522
